Model Name,Metric,Generated Value,Ground Truth Value,Difference
GPT-5,VD,0,67.3,-67.3
Claude-Sonnet-4,CR,85.9,87.9,2.0
Claude-Sonnet-4,VD,69.3,69.5,0.2
DeepSeek-R1(0528),CS,85.5,90.6,5.1
DeepSeek-R1(0528),CR,95.7,96.7,1.0
DeepSeek-R1(0528),VD,55.8,56.0,0.2
o3-mini,CR,93.5,97.0,3.5
Claude-3.7-Sonnet,CR,51.3,57.6,6.3
Qwen3-235B-A22B,CR,90.5,94.1,3.6
o4-mini,CR,97.9,98.1,0.2
GPT-4.1,CR,57.2,63.5,6.3
DeepSeek-R1,CR,94.9,95.1,0.2
DeepSeek-R1,VD,57.8,56.5,-1.3
Grok-3-Mini,CR,82.5,96.4,13.9
Grok-3-Mini,CRv,31.0,30.9,-0.1
GPT-4o,CR,50.5,57.7,7.2
DeepSeek-V3,CR,56.2,57.7,1.5
Gemini-2.5-Pro,CR,93.4,97.2,3.8
Gemini-2.5-Pro,VD,54.7,54.5,-0.2
Qwen3-30B-A3B,CR,79.4,92.3,12.9
Qwen3-32B,CR,80.8,94.0,13.2
Claude-3.5-Sonnet,CR,44.5,60.1,15.6
LLaMA-3.3-70B,CR,34.4,47.2,12.8
GPT-4-turbo,CR,47.8,53.6,5.8
Qwen2.5-72B,CR,40.8,48.2,7.4
Qwen2.5-Coder-32B,CR,46.5,56.2,9.7
Gemma-3-27B,CR,31.0,41.6,10.6
Claude-3.5-Haiku,CR,34.1,46.1,12.0
LLaMA-3.1-70B,CR,34.4,41.5,7.1
LLaMA-4-Scout,CR,39.3,48.4,9.1
GPT-3.5-turbo,CR,31.9,34.8,2.9
