Model Name,CG,CS,CT,CR,CRv,TG,VD,Avg. Rank
GPT-5,89.9,98.4,97.9,97.8,26.9,82.6,67.3,1
Claude-4-Sonnet,74.0,93.8,86.0,87.9,30.9,77.0,69.5,2
DeepSeek-R1 (0528),68.8,90.6,87.0,96.7,31.1,67.4,56.0,3
o3-mini (Med),79.9,79.5,92.8,97.1,31.2,69.7,50.5,4
Claude-3.7-Sonnet,70.0,88.1,85.1,57.5,30.4,75.3,61.8,5
Qwen-3-235B-A22B,63.2,95.3,87.1,94.1,30.9,66.7,55.5,6
o4-mini (Med),74.2,84.6,81.0,98.1,29.0,81.1,56.3,7
GPT-4.1-2025-04-14,76.8,80.2,87.6,63.5,29.4,75.4,59.8,8
Grok-3-Mini (High),73.4,85.1,87.7,96.4,31.0,65.9,51.2,9
DeepSeek-R1,59.9,90.6,89.2,95.1,27.3,69.0,56.5,10
GPT-4o-2024-11-20,66.4,87.7,82.0,57.7,30.3,69.3,60.3,11
DeepSeek-V3,65.2,92.8,82.1,57.7,30.9,68.6,51.5,12
Gemini-2.5-Pro-05-06,61.1,78.7,90.3,97.3,31.5,32.6,54.5,13
Qwen-3-30B-A3B,69.0,81.4,80.1,92.3,31.6,64.9,54.0,14
Qwen-3-32B,63.1,90.2,86.0,94.0,30.4,65.2,53.5,15
Claude-3.5-Sonnet-20241022,59.5,96.5,81.7,60.0,30.0,73.2,47.7,16
Llama-3.3-70B-Instruct,40.7,96.0,70.0,47.2,30.7,66.7,62.3,17
GPT-4-turbo-2024-04-09,59.5,89.9,80.1,53.6,29.7,67.7,59.8,18
Qwen-2.5-72B-Instruct,63.8,86.5,72.5,48.3,31.3,64.8,52.3,19
Qwen-2.5-Coder-32B-Instruct,62.5,86.8,74.6,56.1,31.1,65.0,51.7,20
Gemma-3-27b-it,51.3,83.0,65.9,41.6,31.7,64.7,62.0,21
Claude-3.5-Haiku-20241022,50.9,85.2,75.0,46.1,30.6,44.6,61.2,22
Llama-3.1-70B-Instruct,48.7,74.5,67.7,41.5,30.2,66.3,57.2,23
Llama-4-Scout-17B-16E-Instruct,51.2,74.4,64.4,48.3,30.1,68.7,49.0,24
GPT-3.5-turbo-0125,50.6,71.2,66.5,34.8,30.4,67.5,45.8,25
Llama-3.1-8B-Instruct,31.8,64.2,49.6,28.8,30.2,46.0,54.5,26
Code Summarization Human Baseline,-,44.6,-,-,-,-,-,27
